group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,outer,near,outer->near,22,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.041666666666666664,0.0,0.075,0.0
normal_post_recovery,outer,near,outer->near,23,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_weekday,core,near,core->near,0,13,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_weekday,core,near,core->near,1,13,1,0.15384615384615385,0.0,0.5547001962252291,0.9230769230769231,0.004524886877828054,0.0,0.008547008547008546,0.0
normal_weekday,core,near,core->near,2,13,6,0.9230769230769231,0.0,1.1875421719907089,0.5384615384615384,0.03171349831320185,0.0,0.06192589461820231,0.0
normal_weekday,core,near,core->near,3,13,7,0.9230769230769231,1.0,1.0377490433255416,0.46153846153846156,0.0343906606632851,0.029411764705882353,0.06702136475892131,0.058823529411764705
normal_weekday,core,near,core->near,4,13,3,0.6923076923076923,0.0,1.4935759876113535,0.7692307692307693,0.027647597500538676,0.0,0.04990842490842491,0.0
normal_weekday,core,near,core->near,5,13,4,0.38461538461538464,0.0,0.650443635587991,0.6923076923076923,0.017095721043089464,0.0,0.02642998027613412,0.0
normal_weekday,core,near,core->near,6,13,11,2.6153846153846154,2.0,2.364263857893951,0.15384615384615385,0.09938567347443436,0.09090909090909091,0.17991297917768506,0.14285714285714285
normal_weekday,core,near,core->near,7,13,9,1.5384615384615385,2.0,1.4500221041639685,0.3076923076923077,0.0624693085948742,0.058823529411764705,0.12676938446169214,0.15384615384615385
normal_weekday,core,near,core->near,8,13,6,0.5384615384615384,0.0,0.6602252917735248,0.5384615384615384,0.018526164858470993,0.0,0.0544039294039294,0.0
normal_weekday,core,near,core->near,9,13,7,0.8461538461538461,1.0,0.898717034272917,0.46153846153846156,0.03256547230625624,0.034482758620689655,0.06754527523758293,0.06666666666666667
